lemma,pos,sentiment,markedness,n_synsets
100-procentowy,ADV,positive,+ s,4
abderyta,VERB,negative,- m,2
aberracyjny,ADV,negative,- s,1
abnegat,VERB,negative,- m,2
abnegatka,VERB,negative,- s,2
abominacja,VERB,negative,- m,2
aborcja,VERB,negative,- s,3
aborcjonista,VERB,negative,- s,2
aborcjonistka,VERB,negative,- s,1
aborterka,VERB,negative,- s,1
abs,VERB,negative,- s,2
absmak,VERB,negative,- s,4
absolutnie,ADJ,negative,- s,1
absolutystyczny,ADV,negative,- s,2
absolutyzować się,NOUN,negative,- s,2
absorbować się,NOUN,positive,+ s,1
abstrakcja,VERB,negative,- s,2
abstrakcyjnie,ADJ,positive,+ s,1
abstrakcyjność,VERB,negative,- s,2
abstrakcyjny,ADV,negative,- s,2
absurd,VERB,negative,- m,2
absurdalnie,ADJ,negative,- m,2
absurdalność,VERB,negative,- m,2
absurdalny,ADV,negative,- m,2
aby,ADJ,negative,- s,2
aby aby,ADJ,negative,- s,4
aby-aby,ADJ,negative,- s,4
adaptacja,VERB,positive,+ s,1
adaptatywny,ADV,positive,+ s,2
adekwatnie,ADJ,positive,+ s,2
adekwatność,VERB,positive,+ s,2
adekwatny,ADV,positive,+ s,2
adhd,VERB,negative,- s,2
adidas,VERB,negative,- s,4
admiracja,VERB,positive,+ s,2
adoptować,NOUN,positive,+ s,1
adoracja,VERB,positive,+ m,2
adoracyjny,ADV,negative,- s,2
adrenalina,VERB,positive,+ s,3
adrenalinka,VERB,positive,+ s,2
adrenalinowy,ADV,negative,- s,1
adwokacina,VERB,negative,- m,2
aerofobia,VERB,negative,- s,1
afekcja,VERB,negative,- s,4
afekt,VERB,positive,+ m,4
afektacja,VERB,negative,- m,2
afektowany,ADV,negative,- s,4
afera,VERB,negative,- m,4
afera koperkowa,VERB,negative,- s,2
afera rozporkowa,VERB,negative,- m,2
aferalnie,ADJ,negative,- s,2
aferalność,VERB,negative,- s,2
aferalny,ADV,negative,- s,4
aferka,VERB,negative,- s,4
aferogennie,ADJ,negative,- s,2
aferowy,ADV,negative,- s,4
aferzysta,VERB,negative,- s,6
aferzystka,VERB,negative,- s,6
afirmacyjnie,ADJ,positive,+ s,3
afirmacyjny,ADV,positive,+ s,2
afirmatywnie,ADJ,positive,+ s,1
afiszowanie,VERB,negative,- m,2
afiszowanie się,VERB,negative,- m,2
afiszowy,ADV,negative,- s,1
aforystycznie,ADJ,positive,+ s,1
aforystyczny,ADV,positive,+ s,2
afront,VERB,negative,- m,2
agapa,VERB,positive,+ s,2
agape,VERB,positive,+ m,1
agentura,VERB,negative,- s,2
agenturalnie,ADJ,negative,- s,3
agenturalny,ADV,negative,- m,2
agitacja,VERB,negative,- s,1
agitator,VERB,negative,- s,2
agonalny,ADV,negative,- m,2
agonia,VERB,negative,- s,2
agorafobia,VERB,negative,- m,2
agresja,VERB,negative,- m,4
agresja instrumentalna,VERB,negative,- s,1
agresor,VERB,negative,- m,4
agresywnie,ADJ,negative,- m,4
agresywność,VERB,negative,- m,2
agresywny,ADV,negative,- m,8
ahimsa,VERB,positive,+ s,1
ahinsa,VERB,positive,+ s,1
ahistorycznie,ADJ,negative,- s,1
akademicki,ADV,negative,- s,7
akademicko,ADJ,negative,- s,6
akademickość,VERB,negative,- s,3
akceptowalność,VERB,positive,+ s,2
akcyjnie,ADJ,negative,- s,2
akrofobia,VERB,negative,- m,2
aksamitnie,ADJ,positive,+ s,7
aksamitny,ADV,positive,+ s,6
aktor,VERB,negative,- m,2
aktorka,VERB,negative,- s,2
aktorzyna,VERB,negative,- m,2
aktualizacja,VERB,positive,+ s,3
aktualizować,NOUN,positive,+ s,2
aktualność,VERB,positive,+ s,2
aktualny,ADV,positive,+ s,1
aktyw,VERB,positive,+ s,1
aktywizm,VERB,positive,+ s,2
aktywizować,NOUN,positive,+ s,2
aktywizować się,NOUN,positive,+ s,2
aktywnie,ADJ,positive,+ s,5
aktywność,VERB,positive,+ s,2
aktywny,ADV,positive,+ s,7
aktywować się,NOUN,positive,+ s,2
akurat,ADV,positive,+ s,2
akuratnie,ADJ,positive,+ s,2
akuratny,ADV,positive,+ s,4
akwizytorski,ADV,negative,- s,2
akwizytorsko,ADJ,negative,- s,2
alarm,VERB,negative,- s,6
alarm ozonowy,VERB,negative,- s,2
alarm powodziowy,VERB,negative,- s,3
alarmista,VERB,negative,- s,2
alarmistycznie,ADJ,negative,- s,2
alarmistyczny,ADV,negative,- s,2
alarmować,NOUN,positive,+ s,2
alarmująco,ADJ,negative,- s,3
alarmujący,ADV,negative,- s,3
aleja sztywnych,VERB,negative,- m,1
alergennie,ADJ,negative,- s,2
alergenny,ADV,negative,- s,1
alergia,VERB,negative,- s,4
alergicznie,ADJ,negative,- s,4
alergiczny,ADV,negative,- m,2
alert,VERB,negative,- m,2
alfa i omega,VERB,positive,+ s,2
alfons,VERB,negative,- s,2
alfonsiak,VERB,negative,- m,2
alibi,VERB,positive,+ s,1
alienacja,VERB,negative,- s,2
alienować,NOUN,negative,- s,2
alienować się,NOUN,negative,- s,2
alimenciarz,VERB,negative,- s,2
alkoholizm,VERB,negative,- s,4
alkoholizować,NOUN,negative,- s,2
alkoholizować się,NOUN,negative,- s,3
alkoholowo,ADJ,negative,- s,1
alma mater,VERB,positive,+ s,1
alogicznie,ADJ,negative,- s,3
alogiczny,ADV,negative,- m,2
alternatywa,VERB,positive,+ s,2
alternatywność,VERB,positive,+ s,2
altruista,VERB,positive,+ s,3
altruistycznie,ADJ,positive,+ s,3
altruistyczny,ADV,positive,+ m,4
aluzyjny,ADV,negative,- s,1
amator kwaśnych jabłek,VERB,negative,- s,2
amatorka,VERB,negative,- s,2
amatorski,ADV,negative,- s,5
amatorsko,ADJ,negative,- s,2
amatorskość,VERB,negative,- s,4
amatorstwo,VERB,negative,- s,4
amatorszczyzna,VERB,negative,- m,2
ambarasować,NOUN,negative,- s,4
ambarasować się,NOUN,negative,- s,4
ambasador,VERB,positive,+ s,1
ambicjoner,VERB,negative,- m,2
ambicyjka,VERB,negative,- s,4
ambitnie,ADJ,positive,+ s,3
ambitność,VERB,positive,+ m,2
ambitny,ADV,positive,+ s,7
ambiwalencja,VERB,negative,- s,2
ambiwalentność,VERB,negative,- s,2
ambiwalentny,ADV,negative,- s,1
ambrozja,VERB,positive,+ m,2
ambrozyjski,ADV,positive,+ m,2
ambrozyjsko,ADJ,positive,+ s,3
amerykański,ADV,positive,+ s,1
amnezjogennie,ADJ,negative,- s,2
amnezjogenny,ADV,negative,- s,1
amnezyjnie,ADJ,negative,- s,2
amnezyjny,ADV,negative,- s,1
amok,VERB,negative,- s,3
amoniakowy,ADV,negative,- s,1
amoralnie,ADJ,negative,- m,2
amoralny,ADV,negative,- s,5
amorficznie,ADJ,negative,- s,1
amorficzny,ADV,negative,- s,1
amortyzować,NOUN,positive,+ s,1
amputacja,VERB,negative,- s,2
anachronicznie,ADJ,negative,- s,3
anachroniczność,VERB,negative,- s,3
anachroniczny,ADV,negative,- s,3
analfabeta,VERB,negative,- m,2
analfabetka,VERB,negative,- s,2
analfabetycznie,ADJ,negative,- s,2
analfabetyczny,ADV,negative,- s,2
analfabetyzm,VERB,negative,- m,2
analitycznie,ADJ,positive,+ s,1
analityczność,VERB,positive,+ s,2
analityczny,ADV,positive,+ s,2
analiza,VERB,positive,+ s,1
analny,ADV,negative,- m,2
ananas,VERB,positive,+ s,2
anarchicznie,ADJ,negative,- s,2
anarchiczny,ADV,negative,- s,2
anarchista,VERB,negative,- m,2
anarchistka,VERB,negative,- s,2
anarchizm,VERB,negative,- s,2
anarchizowanie,VERB,negative,- s,2
anarchizować,NOUN,negative,- s,2
anatomicznie,ADJ,positive,+ s,3
anatomiczny,ADV,positive,+ s,1
ancymon,VERB,positive,+ s,2
ancymonek,VERB,negative,- s,1
androny,VERB,negative,- s,2
andrus,VERB,positive,+ s,2
anegdota,VERB,positive,+ s,2
anegdotyczność,VERB,positive,+ s,2
anemicznie,ADJ,negative,- s,4
anemiczność,VERB,negative,- s,2
anemiczny,ADV,negative,- s,4
anemik,VERB,negative,- s,3
angażować,NOUN,positive,+ s,1
angielska flegma,VERB,negative,- s,1
anglofob,VERB,negative,- s,3
anglofobia,VERB,negative,- m,1
angolski,ADV,negative,- s,1
ani w ząb,ADJ,negative,- s,2
anielica,VERB,positive,+ m,2
anielski,ADV,positive,+ s,6
anielsko,ADJ,positive,+ s,8
anielskość,VERB,positive,+ m,2
anielstwo,VERB,positive,+ m,2
animalistyczny,ADV,negative,- s,1
animozja,VERB,negative,- m,2
anioł,VERB,positive,+ m,4
anioł stróż,VERB,negative,- s,3
aniołeczek,VERB,positive,+ s,1
aniołek,VERB,positive,+ s,3
aniołek charliego,VERB,positive,+ s,2
aniołkowato,ADJ,positive,+ s,2
aniołkowaty,ADV,positive,+ s,5
anonimowy,ADV,negative,- m,1
anoreksja gospodarcza,VERB,negative,- s,1
anorektyk,VERB,negative,- m,2
anormalnie,ADJ,negative,- s,4
anormalny,ADV,negative,- s,4
ansa,VERB,negative,- m,2
antagonistycznie,ADJ,negative,- s,1
antagonizm,VERB,negative,- m,2
antagonizować,NOUN,negative,- s,3
antagonizować się,NOUN,negative,- s,2
antifa,VERB,negative,- s,3
