lemma,pos,sentiment,category,source_en,verified
abdykacja,NOUN,negative,negative,abdicating;abdication;abdications,auto
abdykować,VERB,negative,negative,abdicated;abdicates,auto
abecaść,VERB,negative,uncertainty,abeyances,auto
aberracja,NOUN,negative,negative,aberration;aberrations,auto
aberracyjny,ADJ,negative,negative,aberrational,auto
aberrant,NOUN,negative,negative,aberrant,auto
abrogacja,NOUN,negative,negative,abrogations,auto
absencja,NOUN,negative,negative,absenteeism,auto
adiustacja,NOUN,negative,litigious,adjourn,auto
adwokat,NOUN,negative,litigious,attorneys,auto
affreightment,NOUN,negative,litigious,affreightment,auto
akapit,NOUN,negative,litigious,subparagraph;subparagraphs,auto
akcesć,NOUN,negative,litigious,accessions,auto
akt,NOUN,negative,negative,indictment;indictments,auto
alarmować,NOUN,negative,negative,alerting,auto
alienacja,NOUN,negative,negative,alienation;alienations,auto
alienować,VERB,negative,negative,alienate;alienates,auto
alienuć,ADJ,negative,negative,alienating,auto
analizować,NOUN,negative,negative,scrutinizing,auto
analizować,VERB,negative,negative,scrutinize;scrutinizes,auto
annuls,NOUN,negative,negative,annuls,auto
anomalia,ADV,negative,negative,anomalies,auto
anomalia,NOUN,negative,negative,anomaly,auto
anomalnie,ADV,negative,negative,anomalously,auto
anomalny,ADJ,negative,negative,anomalous,auto
antykonkurencyjny,ADJ,negative,negative,anticompetitive,auto
antykorupcja,NOUN,negative,litigious,anticorruption,auto
antymonopolowy,ADJ,negative,negative,antitrust,auto
anulować,ADJ,negative,negative,cancelled,auto
anulować,NOUN,negative,negative,canceling;cancellation;cancelling,auto
anulować,VERB,negative,negative,cancel;cancels,auto
apelacja,NOUN,negative,litigious,appellate,auto
apelować,ADJ,negative,litigious,appealing,auto
arbiter,NOUN,negative,litigious,adjudicator;arbitrator,auto
arbitralnie,ADV,negative,uncertainty,arbitrarily,auto
arbitralność,NOUN,negative,uncertainty,arbitrariness,auto
arbitrazać,NOUN,negative,litigious,arbitrates;arbitrations,auto
