lemma,notes
artykuł,domain
wiadomość,domain
informacja,domain
komunikat,domain
spółka,domain
firma,domain
przedsiębiorstwo,domain
bank,domain
klient,domain
kwartał,domain
rok,domain
miesiąc,domain
tydzień,domain
dzień,domain
pln,domain
zł,domain
mln,domain
mld,domain
proc,domain
procent,domain
dane,domain
oferta,domain
xhtml,html_artifact
xades,html_artifact
html,html_artifact
http,html_artifact
https,html_artifact
www,html_artifact
pdf,file_extension
xls,file_extension
xlsx,file_extension
doc,file_extension
docx,file_extension
ppt,file_extension
zip,file_extension
png,file_extension
jpg,file_extension
jpeg,file_extension
