"cluster","word","n"
1,"mieć",15074
1,"rynek",12158
1,"grupa",9185
1,"móc",8806
1,"powiedzieć",8438
1,"polski",8428
1,"wzrost",7528
1,"papa",7423
1,"nowy",7245
1,"duży",6525
1,"prezes",6455
1,"sprzedaż",6441
1,"cena",6409
1,"dodać",6203
1,"biznes",6125
1,"poziom",5953
1,"akcja",5706
1,"zostać",5610
1,"wynik",5585
1,"projekt",5379
2,"miedź",2301
2,"usd",1495
2,"metal",1254
2,"tona",1165
2,"giełda",669
2,"lme",644
2,"wyceniać",565
2,"kosztować",561
2,"china",538
2,"nowy",523
2,"sesja",488
2,"notować",486
2,"poprzedni",476
2,"cło",466
2,"trumpa",429
2,"dostawa",426
2,"rynek",406
2,"inwestor",404
2,"wysoko",401
2,"cena",398
3,"dywidenda",818
3,"zysk",572
3,"akcja",427
3,"wypłata",404
3,"zarząd",329
3,"netto",228
3,"kwota",204
3,"biznes",201
3,"papa",200
3,"wypłacić",196
3,"podać",174
3,"kapitał",163
3,"rekomendować",153
3,"walny",151
3,"zgromadzenie",144
3,"wysokość",130
3,"przeznaczyć",118
3,"akcjonariusz",116
3,"mieć",109
3,"zostać",106
4,"emitent",2370
4,"raport",1990
4,"zarząd",1492
4,"nazwa",1403
4,"podpis",1401
4,"bieżący",1313
4,"treść",1074
4,"podmiot",1017
4,"osoba",999
4,"finansowy",987
4,"data",983
4,"reprezentować",957
4,"skrócić",935
4,"english",932
4,"versiono",926
4,"messagy",801
4,"podstawa",723
4,"spis",667
4,"ustawa",606
4,"umowa",581
5,"sprawozdanie",4740
5,"finansowy",4595
5,"raport",3204
5,"działalność",2834
5,"zarząd",2330
5,"netto",2151
5,"podpis",2132
5,"zysk",2054
5,"emitent",1793
5,"zgodnie",1779
5,"euro",1747
5,"pieniężny",1736
5,"strata",1686
5,"akcja",1555
5,"sprawa",1476
5,"skonsolidować",1455
5,"okres",1437
5,"przepływ",1360
5,"rna",1201
5,"bieżący",1151
6,"ropa",6161
6,"cena",4832
6,"iran",3530
6,"mieć",2603
6,"paliwo",2542
6,"naftowy",2490
6,"rynek",2462
6,"móc",2363
6,"trumpa",2292
6,"prezydent",2174
6,"wojna",1830
6,"kraj",1745
6,"dostawa",1646
6,"rosyjski",1593
6,"gaz",1519
6,"atak",1486
6,"powiedzieć",1484
6,"rosja",1457
6,"papa",1448
6,"zostać",1443
