"ticker","mean_score","n_articles","n_articles_with_signal","articles_pos","articles_neg"
"GPW",46,1,1,1,0
"DAT",17.3333333333333,4,3,3,0
"HWE",16.2857142857143,7,7,5,0
"SLV",14.5,18,18,16,0
"ATC",13.1304347826087,23,23,20,2
"ACP",11.7380952380952,43,42,35,5
"CCC",11.6388888888889,38,36,21,12
"APR",11.5625,16,16,16,0
"TXT",11,9,9,8,0
"EUR",10.8095238095238,21,21,17,3
"BFT",10.5384615384615,17,13,11,1
"RVC",10.3333333333333,9,9,6,2
"CMR",10.2857142857143,14,14,12,1
"OPL",10.1176470588235,34,34,26,5
"COG",9.4,10,10,9,1
"MDG",9.30434782608696,23,23,20,2
"CAR",9.14285714285714,21,21,16,5
"TEN",8.51851851851852,27,27,22,4
"BDX",8.03921568627451,51,51,38,7
"KTY",7.73333333333333,15,15,12,2
"BHW",7.70588235294118,18,17,15,2
"DVL",7.03846153846154,27,26,16,2
"DOM",7,19,19,17,2
"11B",6.76923076923077,14,13,11,2
"LPP",6.38235294117647,34,34,24,8
"MRC",6.23076923076923,13,13,12,0
"BOS",6.20454545454545,44,44,33,10
"MIL",6.14705882352941,37,34,24,7
"PKO",5.84848484848485,100,99,63,27
"CDR",5.80952380952381,42,42,28,12
"PZU",5.74545454545455,57,55,39,12
"KRU",5.7,33,30,25,4
"ING",5.63829787234043,48,47,35,12
"PKP",5.53488372093023,43,43,27,14
"BML",5.38461538461539,13,13,9,3
"MAB",5.2,10,10,6,4
"PLW",5.2,15,15,11,3
"AGO",5.09523809523809,21,21,12,9
"SPL",4.8135593220339,67,59,39,17
"ALR",4.67272727272727,57,55,32,18
"TPE",4.54,53,50,37,9
"PEO",4.37209302325581,86,86,54,25
"NEU",4.33333333333333,6,6,4,2
"CPS",4.31034482758621,30,29,18,9
"XTB",3.86206896551724,30,29,19,8
"KGH",3.65178571428571,113,112,67,36
"DNP",3.51612903225806,34,31,15,14
"WPL",3.11538461538462,26,26,15,10
"ENA",2.76744186046512,44,43,29,10
"LWB",2.51851851851852,28,27,18,8
"EAT",2.45454545454545,12,11,5,4
"MBK",2.425,40,40,22,12
"GEA",2.4,10,10,4,5
"PGE",1.85,60,60,36,19
"MRB",1.79411764705882,34,34,16,12
"PKN",1.45703125,260,256,135,99
"ASB",1,2,1,1,0
"CIE",-0.0909090909090909,11,11,5,6
"JSW",-0.179775280898876,91,89,36,47
"GRX",-3,4,4,1,3
