"period","mean_score","n_articles","n_articles_with_signal"
2019-09-22,-5,1,1
2019-09-29,4.2,10,10
2019-10-06,2.2,6,5
2019-10-13,4.75,8,8
2019-10-20,0.833333333333333,12,12
2019-10-27,5.36842105263158,19,19
2019-11-03,14.5454545454545,11,11
2019-11-10,7.11764705882353,17,17
2019-11-17,7.04347826086957,23,23
2019-11-24,10.5,10,10
2019-12-01,11.1428571428571,7,7
2019-12-08,1.16666666666667,18,18
2019-12-15,3.83333333333333,18,18
2019-12-22,-1.71428571428571,7,7
2019-12-29,2.84210526315789,19,19
2020-01-05,4.71428571428571,22,21
2020-01-12,2.3030303030303,33,33
2020-01-19,1.21875,32,32
2020-01-26,4.69565217391304,23,23
2020-02-02,5.375,32,32
2020-02-09,5.60714285714286,28,28
2020-02-16,1,16,16
2020-02-23,5.09677419354839,31,31
2020-03-01,3.23809523809524,21,21
2020-03-08,5.68965517241379,30,29
2020-03-15,0.205882352941176,34,34
2020-03-22,0.36,25,25
2020-03-29,-0.15,40,40
2020-04-05,3.57142857142857,22,21
2020-04-12,1.57894736842105,20,19
2020-04-19,-0.263157894736842,21,19
2020-04-26,0.769230769230769,26,26
2020-05-03,-0.2,5,5
2020-05-10,6.23529411764706,35,34
2020-05-17,2.66666666666667,39,39
2020-05-24,3.29310344827586,58,58
2020-05-31,5.29032258064516,33,31
2020-06-07,-0.285714285714286,16,14
2020-06-14,3.48,25,25
2020-06-21,1.75,16,16
2020-06-28,5.44117647058824,35,34
2020-07-05,4.36,26,25
2020-07-12,3.61538461538462,26,26
2020-07-19,4.34615384615385,27,26
2020-07-26,5.16129032258065,32,31
2020-08-02,6.625,17,16
2020-08-09,4.94117647058824,18,17
2020-08-16,2.28571428571429,21,21
2020-08-23,6.47222222222222,36,36
2020-08-30,3.35483870967742,34,31
2020-09-06,2.24,25,25
2020-09-13,12,3,3
2020-09-20,7,3,3
2020-09-27,24,2,1
2020-10-04,9.8,5,5
2020-10-11,33,1,1
2020-10-18,24,1,1
2020-10-25,13.5,2,2
2020-11-01,45,1,1
2020-11-08,26,1,1
2020-11-15,10.6666666666667,3,3
2020-11-22,7.5,6,6
2020-11-29,5.66666666666667,3,3
2020-12-06,17.5,2,2
2020-12-20,29,1,1
2021-01-10,12,1,1
2021-01-17,14,1,1
2021-01-24,32.5,2,2
2021-01-31,13,1,1
2021-02-07,10.5,2,2
2021-02-14,25.75,4,4
2021-02-21,27.5,2,2
2021-02-28,41,3,3
2021-03-07,19,1,1
2021-03-14,16,5,5
2021-03-21,17,4,4
2021-03-28,30,1,1
2021-04-04,26.5,2,2
2021-04-11,21,1,1
