"topic","term","beta"
1,"mieć",0.017846333961889
1,"polski",0.0108115528567695
1,"powiedzieć",0.00950971583814756
1,"móc",0.00940344282858916
1,"projekt",0.00908048522521825
1,"nowy",0.00848535804759687
1,"rynek",0.00828142810313373
1,"prezes",0.0076530995274098
1,"dodać",0.00694602260936376
1,"rozwój",0.00645359526116678
1,"duży",0.0063934760596924
1,"inwestycja",0.00591874464194769
1,"chcieć",0.00567638612764383
1,"system",0.00486315412960603
1,"papa",0.00471724895624656
2,"rynek",0.0176664482684649
2,"wzrost",0.0174594196155732
2,"cena",0.015513896604603
2,"poziom",0.0119340785469265
2,"sprzedaż",0.0109097540152558
2,"wysoki",0.00956415024165261
2,"grupa",0.00849553805639634
2,"wynik",0.00843182160961957
2,"przychód",0.00821588150629371
2,"mieć",0.00763762595967178
2,"wynieść",0.00741795781135689
2,"powiedzieć",0.00686300531080595
2,"wzrosnąć",0.00671206068177015
2,"móc",0.00653929441591593
2,"pierwszy",0.0064591679252064
3,"raport",0.0302795254919689
3,"finansowy",0.0301730149414557
3,"sprawozdanie",0.0266492707408539
3,"emitent",0.0232071347314507
3,"zarząd",0.0200227354870632
3,"podpis",0.0186897098540869
3,"działalność",0.015855886850749
3,"bieżący",0.0139567614387162
3,"netto",0.0117385777104542
3,"nazwa",0.0116512338320622
3,"zysk",0.0109135940580896
3,"akcja",0.0108154956065582
3,"zgodnie",0.0102795835972101
3,"treść",0.00985086351720728
3,"euro",0.00958562583508061
4,"ropa",0.0167335702519606
4,"iran",0.00966839481272345
4,"prezydent",0.0095064304096107
4,"cena",0.00883680530808296
4,"złoto",0.00879041395228129
4,"trumpa",0.00826324819280713
4,"usd",0.0080888110421097
4,"miedź",0.00733237324599198
4,"mieć",0.0069824008434527
4,"naftowy",0.00696408143063762
4,"móc",0.00669166274779483
4,"kraj",0.00640703503993924
4,"gaz",0.00626829683120771
4,"wojna",0.00620005581097991
4,"dostawa",0.00598955127991712
5,"akcja",0.0151309626883134
5,"grupa",0.0134815422394905
5,"podać",0.0133177618977333
5,"papa",0.0127273335595372
5,"zostać",0.0117266995745181
5,"zysk",0.0100256069884808
5,"umowa",0.00920606255196461
5,"wynieść",0.00869251202749119
5,"biznes",0.00868920666433074
5,"mieć",0.00774720454964435
5,"wartość",0.00769115495243569
5,"netto",0.00757319915324164
5,"wynik",0.00734452310783559
5,"zarząd",0.00682313229267103
5,"sprawa",0.00660383779114977
