"word","freq"
"mieć",18219
"rynek",15550
"cena",11735
"móc",11620
"grupa",10717
"powiedzieć",10093
"polski",9726
"finansowy",9588
"papa",9393
"wzrost",9312
"nowy",9210
"akcja",8590
"raport",8386
"zostać",8181
"prezes",7839
"duży",7724
"sprzedaż",7437
"poziom",7318
"dodać",7246
"zysk",7246
"zarząd",7108
"biznes",7098
"ropa",6788
"wynik",6379
"wysoki",6216
"pierwszy",6134
"projekt",5854
"działalność",5799
"wynieść",5775
"netto",5678
"poinformować",5542
"przychód",5465
"podać",5401
"sprawozdanie",5399
"sprawa",5088
"okres",4914
"koniec",4808
"koszt",4768
"wartość",4709
"emitent",4680
"dotyczyć",4661
"cel",4502
"czas",4490
"strona",4458
"sytuacja",4440
"kraj",4348
"euro",4346
"rozwój",4325
"kolejny",4292
"inwestor",4285
"chcieć",4266
"swój",4214
"umowa",4200
"prezydent",4164
"inwestycja",4146
"zmiana",4090
"iran",3922
"wzrosnąć",3815
"wcześnie",3811
"podpis",3769
"osoba",3737
"zgodnie",3722
"stan",3714
"drugi",3713
"prowadzić",3692
"polska",3690
"sektor",3655
"złoto",3613
"bieżący",3594
"obecnie",3586
"energia",3581
"usd",3578
"produkcja",3511
"paliwo",3490
"ostatni",3463
"praca",3444
"udział",3431
"marzec",3423
"dostawa",3417
"tysiąc",3353
"trumpa",3352
"ustawa",3330
"bliski",3318
"część",3314
"dobry",3303
"segment",3301
"produkt",3282
"spadek",3282
"wobec",3269
"europejski",3219
"strata",3213
"decyzja",3200
"niski",3106
"wynikać",3082
"rosnąć",3074
"system",3059
"aktywa",3017
"inwestycyjny",3008
"liczba",2985
"rząd",2983
